PMY,BMY
20811.11098,5414.847189
20071.7484,5222.472289
20054.23718,5217.916041
20396.6788,5307.015995
20532.87717,5342.453476
21227.48886,5523.184633
24095.4374,6269.396745
25523.5746,6640.984052
26601.48741,6921.446407
26539.2253,6905.246415
25996.37751,6764.002738
26648.184,6933.5964
27050.94203,7038.390096
27338.9043,7113.315057
26776.5996,6967.008883
24768.64649,6444.559154
24470.95576,6367.102944
25821.26532,6718.440262
25472.98663,6627.821559
25000.18371,6504.802873
23725.75611,6173.209295
22900.78312,5958.559407
21676.94348,5640.128322
20912.28691,5441.172175
19984.19231,5199.691051
19682.6102,5121.222341
19427.72468,5054.903626
19766.27491,5142.99108
19797.40597,5151.091076
20093.151,5228.041036
23027.25304,5991.465639
24684.98177,6422.790416
26050.85686,6778.177731
26054.74824,6779.19023
25391.26761,6606.55907
26371.89587,6861.708938
26838.86171,6983.208875
27050.94203,7038.390096
26490.58302,6892.590172
24677.19901,6420.765417
24142.13398,6281.546739
26453.6149,6882.971427
26268.77425,6834.877702
25609.185,6663.259041
24998.23802,6504.296623
24050.6865,6257.753001
22554.45012,5868.446953
21439.56918,5578.365854
20661.29278,5375.865959
20087.31393,5226.522287
19873.28792,5170.834815
20830.56789,5419.909686
20764.4144,5402.697195
21412.3295,5571.278358
24346.43154,6334.702961
26288.23116,6839.940199
27498.45096,7154.827535
27599.6269,7181.152522
26724.06594,6953.34014
28152.20314,7324.927447
27942.06851,7270.252476
27837.0012,7242.91499
27245.51113,7089.01507
25525.52029,6641.490302
24673.30763,6419.752917
26266.82856,6834.371452
25844.61361,6724.515259
24953.48713,6492.652879
23967.02179,6235.984263
22575.85272,5874.0157
22153.63778,5764.159507
21564.0934,5610.765837
20820.83944,5417.378437
20003.64922,5204.753548
19812.9715,5155.141074
20361.65636,5297.9035
20686.58676,5382.447206
21159.38967,5505.465892
24126.56845,6277.496741
25568.32549,6652.627796
26585.92188,6917.396409
26243.48027,6828.296455
25070.22859,6523.027863
25060.50014,6520.496615
26930.30919,7007.002612
26694.88058,6945.746394
25990.54044,6762.483989
24519.59804,6379.759188
23914.48813,6222.31552
25710.36093,6689.584027
25190.86143,6554.415347
23863.90017,6209.153026
23383.31449,6084.109341
22414.36037,5831.996972
21056.26805,5478.634656
20750.79456,5399.153447
20213.78384,5259.42852
19737.08955,5135.397334
19416.05053,5051.866127
19486.09541,5070.091118
19565.86874,5090.847357
19320.71167,5027.05989
21069.88789,5482.178404
22704.26833,5907.428183
23644.03708,6151.946806
23630.41725,6148.403058
22968.88231,5976.278147
23414.44555,6092.209337
23235.44197,6045.634361
23249.06181,6049.178109
22894.94605,5957.040657
22235.3568,5785.421996
22385.175,5824.403226
24624.66535,6407.096674
24299.73495,6322.552968
23525.34993,6121.065572
22974.71938,5977.796897
22132.23517,5758.59076
21355.90446,5556.597115
20674.91261,5379.409707
19820.75426,5157.166073
18873.20274,4910.622451
18550.21804,4826.584994
18668.90519,4857.466228
18756.46128,4880.247466
17164.88604,4466.135181
17865.3348,4648.385087
19001.61835,4944.034933
19774.05768,5145.016079
20128.17344,5237.153531
19812.9715,5155.141074
20106.77084,5231.584784
20209.89246,5258.41602
20385.00465,5303.978496
19976.40954,5197.666052
19789.62321,5149.066077
20297.44856,5281.197258
22867.70637,5949.953161
22821.00979,5937.803167
22616.71223,5884.646945
22159.47485,5765.678257
21610.78999,5622.915831
20873.37309,5431.04718
20048.40011,5216.397292
19085.28306,4965.803672
18628.04568,4846.834984
18486.01023,4809.878753
18343.97479,4772.922522
18559.94649,4829.116243
18164.97122,4726.347546
20167.08726,5247.278526
21673.0521,5639.115822
22805.44426,5933.753169
23000.01336,5984.378143
22682.86573,5901.859436
23301.59547,6062.846852
23599.28619,6140.303062
23716.02765,6170.678046
23247.11612,6048.67186
22581.6898,5875.53445
22245.08525,5787.953245
24593.53429,6398.996678
24402.85658,6349.384204
23992.31577,6242.565509
23496.16457,6113.471826
22498.02508,5853.765711
21501.83129,5594.565846
20725.50058,5392.5722
20137.90189,5239.68478
